codmun,latitude,longitude,county,country
1,-9.928786087,-66.93057363,Microrregião de Rio Branco,brazil
2,-10.87442377,-70.16259514,Microrregião de Brasiléia,brazil
3,-10.76825376,-69.15011225,Microrregião de Brasiléia,brazil
4,-9.586090579,-68.20649291,Microrregião de Rio Branco,brazil
5,-10.47664105,-67.83720572,Microrregião de Rio Branco,brazil
6,-8.065150236,-72.86715993,Microrregião de Cruzeiro do Sul,brazil
7,-10.89937087,-68.41142128,Microrregião de Brasiléia,brazil
8,-9.072905603,-70.89498145,Microrregião de Tarauacá,brazil
9,-9.242727782,-71.91831297,Microrregião de Tarauacá,brazil
10,-7.505874057,-73.46213842,Microrregião de Cruzeiro do Sul,brazil
11,-9.467183576,-69.91874731,Microrregião de Sena Madureira,brazil
12,-9.107902956,-72.5484941,Microrregião de Cruzeiro do Sul,brazil
13,-10.24724489,-67.31728957,Microrregião de Rio Branco,brazil
14,-9.62039226,-67.70052831,Microrregião de Rio Branco,brazil
15,-8.516460948,-72.71462652,Microrregião de Cruzeiro do Sul,brazil
16,-10.05302263,-68.31503586,Microrregião de Rio Branco,brazil
17,-7.82281308,-73.24339787,Microrregião de Cruzeiro do Sul,brazil
18,-9.422991695,-70.4074451,Microrregião de Tarauacá,brazil
19,-9.854576542,-69.43882628,Microrregião de Sena Madureira,brazil
20,-10.01111904,-67.40747587,Microrregião de Rio Branco,brazil
21,-8.314280424,-71.54348817,Microrregião de Tarauacá,brazil
22,-10.54281834,-68.5729894,Microrregião de Brasiléia,brazil
23,-9.273231956,-37.90183817,Microrregião de Serrana do Sertão Alagoano,brazil
24,-9.663625724,-36.31259306,Microrregião de São Miguel dos Campos,brazil
25,-9.748779394,-36.64139062,Microrregião de Arapiraca,brazil
26,-9.50527847,-36.07321034,Microrregião da Mata Alagoana,brazil
27,-9.812155556,-35.94646954,Microrregião de Maceió,brazil
28,-9.379460999,-35.56005817,Microrregião de Maceió,brazil
29,-9.706389848,-37.10079145,Microrregião de Batalha,brazil
30,-9.548459761,-36.49143421,Microrregião Palmeira dos Indios,brazil
31,-9.817790203,-37.18784366,Microrregião de Batalha,brazil
32,-9.666115686,-36.18120655,Microrregião de São Miguel dos Campos,brazil
33,-9.224687637,-36.02878955,Microrregião Serrana dos Quilombos,brazil
34,-9.445891271,-36.9212478,Microrregião Palmeira dos Indios,brazil
35,-9.38528647,-36.15697423,Microrregião da Mata Alagoana,brazil
36,-8.886331298,-35.54779103,Microrregião da Mata Alagoana,brazil
37,-9.814484281,-36.28299359,Microrregião de São Miguel dos Campos,brazil
38,-9.966778985,-36.74590182,Microrregião de Arapiraca,brazil
39,-9.131254769,-37.53339248,Microrregião de Serrana do Sertão Alagoano,brazil
40,-9.358156816,-36.09455074,Microrregião da Mata Alagoana,brazil
41,-9.466416881,-37.36680065,Microrregião de Santana do Ipanema,brazil
42,-9.241467583,-36.28761181,Microrregião Serrana dos Quilombos,brazil
43,-9.629967119,-36.58200255,Microrregião de Arapiraca,brazil
44,-8.961881526,-35.7703962,Microrregião da Mata Alagoana,brazil
45,-9.642295716,-35.80906099,Microrregião de Maceió,brazil
46,-10.08013281,-36.22302447,Microrregião de São Miguel dos Campos,brazil
47,-9.629456814,-36.78872431,Microrregião de Arapiraca,brazil
48,-9.399055139,-38.04941844,Microrregião Alagoana do Sertão do São Francisco,brazil
49,-9.38306067,-37.06982567,Microrregião de Batalha,brazil
50,-9.390991974,-36.76850392,Microrregião Palmeira dos Indios,brazil
51,-9.895417632,-36.66007176,Microrregião de Arapiraca,brazil
52,-10.2892403,-36.33936759,Microrregião de Penedo,brazil
53,-9.245163805,-35.76267843,Microrregião da Mata Alagoana,brazil
54,-9.789346203,-36.84880186,Microrregião de Arapiraca,brazil
55,-8.956067957,-35.89985644,Microrregião Serrana dos Quilombos,brazil
56,-9.543703916,-36.68224262,Microrregião Palmeira dos Indios,brazil
57,-10.13998531,-36.62027016,Microrregião de Penedo,brazil
58,-9.272374154,-37.69706233,Microrregião de Serrana do Sertão Alagoano,brazil
59,-9.655283282,-37.22862401,Microrregião de Batalha,brazil
60,-8.884767701,-35.44838268,Microrregião da Mata Alagoana,brazil
61,-9.082677276,-35.29771037,Microrregião do Litoral Norte Alagoano,brazil
62,-9.654633078,-36.99552072,Microrregião de Batalha,brazil
63,-9.098618529,-35.75871199,Microrregião da Mata Alagoana,brazil
64,-8.964079471,-35.53726697,Microrregião da Mata Alagoana,brazil
65,-9.857747546,-36.44492506,Microrregião de São Miguel dos Campos,brazil
66,-9.809208773,-36.73037353,Microrregião de Arapiraca,brazil
67,-9.733463086,-36.46720003,Microrregião de Arapiraca,brazil
68,-9.520116195,-35.71033683,Microrregião de Maceió,brazil
69,-9.541300371,-37.01012055,Microrregião de Batalha,brazil
70,-9.473774575,-36.37125562,Microrregião Palmeira dos Indios,brazil
71,-8.95147822,-35.2690168,Microrregião do Litoral Norte Alagoano,brazil
72,-9.240012026,-37.38065219,Microrregião de Santana do Ipanema,brazil
73,-9.715495317,-35.90586614,Microrregião de Maceió,brazil
74,-9.559783321,-36.29768831,Microrregião Palmeira dos Indios,brazil
75,-9.058138103,-37.76016563,Microrregião de Serrana do Sertão Alagoano,brazil
76,-9.107612341,-35.57267056,Microrregião do Litoral Norte Alagoano,brazil
77,-9.342351848,-35.81204766,Microrregião da Mata Alagoana,brazil
78,-9.3378124,-36.86436043,Microrregião Palmeira dos Indios,brazil
79,-9.600914078,-37.29570607,Microrregião de Batalha,brazil
80,-9.293587608,-35.93768199,Microrregião da Mata Alagoana,brazil
81,-8.957904489,-35.63656403,Microrregião da Mata Alagoana,brazil
82,-9.531453357,-37.25866398,Microrregião de Batalha,brazil
83,-9.436633291,-37.81587158,Microrregião Alagoana do Sertão do São Francisco,brazil
84,-10.05587647,-36.79269107,Microrregião de Traipú,brazil
85,-9.49159162,-37.17216707,Microrregião de Batalha,brazil
86,-9.139477057,-37.36453825,Microrregião de Santana do Ipanema,brazil
87,-9.676148218,-37.4843941,Microrregião de Santana do Ipanema,brazil
88,-9.6917927,-37.30662272,Microrregião de Batalha,brazil
89,-9.416557433,-36.60689175,Microrregião Palmeira dos Indios,brazil
90,-9.242042676,-38.04895187,Microrregião de Serrana do Sertão Alagoano,brazil
91,-9.435404731,-35.59422397,Microrregião de Maceió,brazil
92,-9.269409156,-35.47601202,Microrregião do Litoral Norte Alagoano,brazil
93,-9.379485839,-36.40750836,Microrregião Palmeira dos Indios,brazil
94,-10.2318478,-36.482446,Microrregião de Penedo,brazil
95,-10.38728888,-36.40049033,Microrregião de Penedo,brazil
96,-9.613264591,-36.00359406,Microrregião de Maceió,brazil
97,-9.477699891,-36.26866667,Microrregião Serrana dos Quilombos,brazil
98,-9.525121273,-37.72625237,Microrregião Alagoana do Sertão do São Francisco,brazil
99,-9.301095387,-37.33720446,Microrregião de Santana do Ipanema,brazil
100,-9.024093643,-35.41232638,Microrregião da Mata Alagoana,brazil
101,-9.141162245,-35.4051821,Microrregião do Litoral Norte Alagoano,brazil
102,-10.12403393,-36.73799608,Microrregião de Penedo,brazil
103,-9.311174828,-36.46826497,Microrregião Palmeira dos Indios,brazil
104,-9.477082202,-35.86368713,Microrregião de Maceió,brazil
105,-9.868833088,-35.98137325,Microrregião de São Miguel dos Campos,brazil
106,-10.10782993,-36.86317195,Microrregião de Traipú,brazil
107,-8.987922217,-36.03715172,Microrregião Serrana dos Quilombos,brazil
108,-9.531877488,-37.49484223,Microrregião de Santana do Ipanema,brazil
109,-9.253113018,-35.62918596,Microrregião da Mata Alagoana,brazil
110,-9.828992697,-36.10114147,Microrregião de São Miguel dos Campos,brazil
111,-9.232721733,-35.39868222,Microrregião do Litoral Norte Alagoano,brazil
112,-9.967236172,-36.55073049,Microrregião de Arapiraca,brazil
113,-9.611192935,-35.82923846,Microrregião de Maceió,brazil
114,-9.358486603,-37.21116719,Microrregião de Santana do Ipanema,brazil
115,-9.125385773,-36.18491998,Microrregião Serrana dos Quilombos,brazil
116,-9.576918288,-35.84582209,Microrregião de Maceió,brazil
117,-9.386638052,-37.51402821,Microrregião de Santana do Ipanema,brazil
118,-9.547768841,-36.42502146,Microrregião Palmeira dos Indios,brazil
119,-9.620820253,-36.4956598,Microrregião de Arapiraca,brazil
120,-9.964201752,-36.37129951,Microrregião de São Miguel dos Campos,brazil
121,-9.898297175,-36.96803768,Microrregião de Traipú,brazil
122,-9.125733783,-36.00662027,Microrregião Serrana dos Quilombos,brazil
123,-9.364545911,-36.27218414,Microrregião Serrana dos Quilombos,brazil
124,1.746694172,-50.59131019,Microrregião de Amapá,brazil
125,2.423219959,-51.40675727,Microrregião de Oiapoque,brazil
126,1.030315737,-50.48382462,Microrregião de Amapá,brazil
127,0.958740405,-51.41916705,Microrregião de Macapá,brazil
128,0.53216727,-50.65154324,Microrregião de Macapá,brazil
129,1.090935417,-53.30337798,Microrregião de Mazagão,brazil
130,0.562750341,-50.68745765,Microrregião de Macapá,brazil
131,-0.072918727,-51.94392836,Microrregião de Mazagão,brazil
132,3.084647889,-51.91311369,Microrregião de Oiapoque,brazil
133,1.157959494,-52.52373578,Microrregião de Macapá,brazil
134,0.587808743,-51.67354619,Microrregião de Macapá,brazil
135,1.625343284,-51.27705156,Microrregião de Amapá,brazil
136,0.128540855,-51.3794952,Microrregião de Macapá,brazil
137,1.649595091,-52.2704484,Microrregião de Macapá,brazil
138,1.294111523,-50.98568548,Microrregião de Amapá,brazil
139,-0.997837685,-52.06110439,Microrregião de Mazagão,brazil
140,-3.701128362,-65.33080397,Microrregião de Tefé,brazil
141,-3.41836858,-68.28779424,Microrregião do Alto Solimões,brazil
142,-3.502606262,-61.71674185,Microrregião de Coari,brazil
143,-4.186667406,-62.07309407,Microrregião de Coari,brazil
144,-7.759720239,-59.43139823,Microrregião de Madeira,brazil
145,-5.710436838,-71.74248909,Microrregião do Alto Solimões,brazil
146,-3.788981689,-59.52880291,Microrregião de Manaus,brazil
147,-0.465216609,-63.43469746,Microrregião do Rio Negro,brazil
148,-3.129109554,-57.17243568,Microrregião de Parintins,brazil
149,-5.431016683,-70.27981915,Microrregião do Alto Solimões,brazil
150,-4.603478123,-61.78745129,Microrregião de Coari,brazil
151,-3.138077787,-57.66995029,Microrregião de Parintins,brazil
152,-8.760441725,-68.08975685,Microrregião de Boca do Acre,brazil
153,-4.956915354,-59.53441571,Microrregião de Madeira,brazil
154,-3.081994092,-61.87758613,Microrregião de Coari,brazil
155,-7.403275982,-64.09662553,Microrregião de Purus,brazil
156,-5.118801269,-67.33761861,Microrregião de Juruá,brazil
157,-3.286234159,-59.59952002,Microrregião de Manaus,brazil
158,-3.77063578,-60.18309342,Microrregião de Manaus,brazil
159,-4.437225835,-64.12471085,Microrregião de Coari,brazil
160,-3.289040669,-62.97277007,Microrregião de Coari,brazil
161,-7.063653187,-70.2792599,Microrregião de Juruá,brazil
162,-7.766315931,-70.20478827,Microrregião de Juruá,brazil
163,-2.492245114,-66.35861849,Microrregião do Alto Solimões,brazil
164,-7.271893116,-72.83217012,Microrregião de Juruá,brazil
165,-7.362910358,-62.48538859,Microrregião de Madeira,brazil
166,-7.242718104,-71.45848949,Microrregião de Juruá,brazil
167,-3.095160767,-60.48070739,Microrregião de Manaus,brazil
168,-3.174668894,-58.77722631,Microrregião de Itacoatiara,brazil
169,-6.68286882,-68.1144199,Microrregião de Juruá,brazil
170,-1.700811436,-68.31415784,Microrregião de Japurá,brazil
171,-3.524632478,-66.30707191,Microrregião de Juruá,brazil
172,-4.713082042,-68.40430631,Microrregião do Alto Solimões,brazil
