Country,codmun,hdi,hdi_estimated_2016,hdi_estimated_2017,entropy_2016,entropy_2017,popularity_2016,popularity_2017,activity_2016_h0-5,activity_2016_h6-11,activity_2016_h12-17,activity_2016_h18-23,activity_2017_h0-5,activity_2017_h6-11,activity_2017_h12-17,activity_2017_h18-23
brazil,3,0.4,0.42,0.46,0.98,1,8.24,8.23,0.019666667,0.034333333,0.051833333,0.061166667,0.019666667,0.034,0.051833333,0.061333333
brazil,5,0.3,0.32,0.29,0.58,0.56,9.12,9.32,0.065833333,0.0335,0.027333333,0.040166667,0.066333333,0.0335,0.026666667,0.0405
brazil,6,0.52,0.61,0.67,1.44,1.38,18.26,17.2,0.0155,0.032166667,0.064,0.055333333,0.015,0.032333333,0.064333333,0.055
brazil,7,0.49,0.52,0.57,1.02,1.01,16.78,15.82,0.000833333,0.093,0.0365,0.0365,0.000666667,0.093333333,0.036,0.0365
brazil,8,0.22,0.45,0.49,0.58,0.61,5.33,5.81,0.009333333,0.066333333,0.066,0.025166667,0.009666667,0.065666667,0.066,0.025333333
brazil,10,0.42,0.52,0.58,0.41,0.42,10.15,10.58,0.066166667,0.000833333,0.001,0.0985,0.066333333,0.001,0.000333333,0.098833333
brazil,14,0.31,0.27,0.3,0.59,0.63,8.7,9.46,0.000666667,0.039166667,0.048833333,0.077833333,0.001166667,0.038833333,0.0485,0.078
brazil,16,0.67,0.75,0.83,2.74,2.76,29.93,30.41,0.028333333,0.027166667,0.053166667,0.058,0.027833333,0.027166667,0.0535,0.057833333
brazil,19,0.37,0.41,0.37,0.6,0.61,7.6,7.88,0.019333333,0.027166667,0.079166667,0.041,0.018833333,0.027166667,0.079833333,0.041
brazil,20,0.46,0.58,0.52,0.83,0.84,20.72,19.03,0.011833333,0.0785,0.058666667,0.017666667,0.011333333,0.078333333,0.058666667,0.018
brazil,21,0.22,0.23,0.25,0.12,0.13,10.65,9.8,0.034166667,0.025666667,0.046,0.060666667,0.034333333,0.0255,0.046166667,0.060333333
brazil,22,0.36,0.22,0.24,0.64,0.66,7.98,7.32,0.001166667,0.012666667,0.047666667,0.1055,0.000833333,0.012833333,0.047333333,0.105666667
brazil,23,0.24,0.4,0.44,0.97,1.01,8.44,8.82,0.031166667,0.026333333,0.05,0.058833333,0.031,0.026666667,0.0495,0.059666667
brazil,24,0.29,0.38,0.35,1.5,1.5,13.92,14.6,0.001,0.070666667,0.016333333,0.0785,0.001,0.0705,0.0165,0.078166667
brazil,25,0.48,0.64,0.58,3.4,3.39,22.28,21.27,0.023666667,0.013166667,0.058333333,0.071666667,0.023833333,0.012833333,0.0585,0.071333333
brazil,28,0.26,0.39,0.35,0.61,0.61,10.07,10.67,0.022833333,0.063666667,0.033333333,0.047,0.022833333,0.062833333,0.0335,0.0475
brazil,29,0.35,0.39,0.35,0.5,0.48,11.21,11.96,0.025833333,0.0275,0.051333333,0.061833333,0.025666667,0.027166667,0.0515,0.062333333
brazil,32,0.37,0.4,0.44,0.77,0.8,5.1,5.47,0.029166667,0.023,0.028833333,0.0855,0.029666667,0.023333333,0.029,0.084833333
brazil,34,0.2,0.45,0.49,1.34,1.32,7.78,8.4,0.026666667,0.025333333,0.053166667,0.061333333,0.0265,0.0255,0.053333333,0.061166667
brazil,35,0.27,0.47,0.52,0.99,0.97,18.33,19.32,0.007166667,0.030833333,0.059833333,0.069,0.007666667,0.031166667,0.0595,0.0685
