Country,codmun,hdi,hdi_estimated_2016,hdi_estimated_2017,entropy_2016,entropy_2017,popularity_2016,popularity_2017,activity_2016_h0-5,activity_2016_h6-11,activity_2016_h12-17,activity_2016_h18-23,activity_2017_h0-5,activity_2017_h6-11,activity_2017_h12-17,activity_2017_h18-23,bank,commercial,embassy,government,hospital,industrial,park,paved,pharmacy,police,primary,school,secondary,supermarket,tower,unpaved
brazil,3,0.4,0.42,0.46,0.98,1.0,8.24,8.23,0.019666667,0.034333333,0.051833332999999995,0.061166667,0.019666667,0.034,0.051833332999999995,0.061333333,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,5.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,14.0
brazil,3,0.4,0.42,0.46,0.98,1.0,8.24,8.23,0.019666667,0.034333333,0.051833332999999995,0.061166667,0.019666667,0.034,0.051833332999999995,0.061333333,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,5.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,14.0
brazil,5,0.3,0.32,0.29,0.58,0.56,9.12,9.32,0.065833333,0.0335,0.027333332999999998,0.040166667,0.066333333,0.0335,0.026666667,0.0405,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,14.0,0.0,0.0,-1.0,192.0,5.0
brazil,5,0.3,0.32,0.29,0.58,0.56,9.12,9.32,0.065833333,0.0335,0.027333332999999998,0.040166667,0.066333333,0.0335,0.026666667,0.0405,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,14.0,0.0,0.0,-1.0,192.0,5.0
brazil,6,0.52,0.61,0.67,1.44,1.38,18.26,17.2,0.0155,0.032166667,0.064,0.055333333,0.015,0.032333333,0.06433333299999999,0.055,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,22.0,0.0,0.0,27.0,3.0,3.0,-1.0,0.0,71.0
brazil,6,0.52,0.61,0.67,1.44,1.38,18.26,17.2,0.0155,0.032166667,0.064,0.055333333,0.015,0.032333333,0.06433333299999999,0.055,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,22.0,0.0,0.0,27.0,3.0,3.0,-1.0,0.0,71.0
brazil,7,0.49,0.52,0.57,1.02,1.01,16.78,15.82,0.000833333,0.09300000000000001,0.0365,0.0365,0.000666667,0.093333333,0.036000000000000004,0.0365,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,8.0,0.0,2.0,10.0,0.0,3.0,-1.0,60.0,27.0
brazil,7,0.49,0.52,0.57,1.02,1.01,16.78,15.82,0.000833333,0.09300000000000001,0.0365,0.0365,0.000666667,0.093333333,0.036000000000000004,0.0365,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,8.0,0.0,2.0,10.0,0.0,3.0,-1.0,60.0,27.0
brazil,8,0.22,0.45,0.49,0.58,0.61,5.33,5.81,0.009333333000000001,0.066333333,0.066,0.025166667,0.009666667,0.065666667,0.066,0.025333333,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,3.0,0.0,0.0,-1.0,0.0,0.0
brazil,8,0.22,0.45,0.49,0.58,0.61,5.33,5.81,0.009333333000000001,0.066333333,0.066,0.025166667,0.009666667,0.065666667,0.066,0.025333333,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,3.0,0.0,0.0,-1.0,0.0,0.0
