origin_codmun,destination_codmun,flow_2016,flow_2017,Country
1939,1939,1055.99,998.53,brazil
4845,4877,912.15,858.73,brazil
3566,3610,86.6,83.14,brazil
4428,4701,1065.34,1131.9,brazil
4621,4621,992.18,931.1,brazil
5047,5100,853.21,775.18,brazil
2979,2979,1283.36,1214.55,brazil
2857,3118,119.21,107.92,brazil
883,800,112.11,105.01,brazil
2370,2370,866.36,839.47,brazil
4616,4616,914.62,831.99,brazil
3167,3167,1279.23,1335.97,brazil
4213,3897,104.6,109.4,brazil
5087,5036,1384.47,1520.03,brazil
3609,3612,1409.46,1345.69,brazil
1216,1210,114.44,121.35,brazil
4569,4877,1222.3,1194.84,brazil
1358,1370,120.84,108.77,brazil
4593,4877,874.08,919.82,brazil
4570,4421,101.21,103.08,brazil
3593,3610,89.47,93.89,brazil
3630,5455,85.08,89.73,brazil
5036,5137,119.29,118.42,brazil
4467,5455,12.07,13.06,brazil
3290,674,1173.95,1256.26,brazil
5181,5025,141.15,129.47,brazil
4734,4766,129.86,126.15,brazil
2178,1601,108.8,119.63,brazil
2865,2865,1156.58,1076.21,brazil
830,818,11.53,12.29,brazil
3629,3633,95.19,93.56,brazil
4860,4688,75.19,80.46,brazil
2590,2662,102.48,98.76,brazil
3573,3573,1179.22,1066.37,brazil
5199,5036,1001.15,1015.39,brazil
1659,2387,5.63,6.1,brazil
3910,4086,98.37,96.15,brazil
4723,4871,88.25,82.65,brazil
5331,5295,171.41,160.66,brazil
3861,5087,124.16,125.35,brazil
1573,1573,1057.3,955.54,brazil
4056,4056,1122.77,1210.22,brazil
4569,4701,112.97,123.67,brazil
4785,4871,11.7,11.66,brazil
2634,3325,10.23,9.62,brazil
5025,5022,9.47,8.68,brazil
4443,4477,11.18,10.27,brazil
4663,4872,99.39,108.42,brazil
2841,3029,1278.32,1234.43,brazil
4205,4191,12.56,13.38,brazil
4289,4570,11.39,11.29,brazil
3864,3864,958.85,1002.8,brazil
4094,5275,8.36,9.04,brazil
2521,2402,127.39,138.74,brazil
3568,3592,78.82,80.53,brazil
1787,1752,91.31,91.75,brazil
3205,3270,99.69,95.08,brazil
3910,3895,118.52,114.99,brazil
548,548,117.65,123.45,brazil
4506,4882,90.15,93.88,brazil
4873,4612,84.72,87.77,brazil
1700,1606,120.94,123.34,brazil
3167,3206,129.5,122.59,brazil
331,542,81.99,89.89,brazil
4873,4945,9.84,10.18,brazil
1914,2150,88.95,82.68,brazil
1887,1887,844.94,871.35,brazil
4373,4880,84.24,81.44,brazil
3952,4169,90.75,83.46,brazil
4938,4942,8.65,9.11,brazil
3887,3887,1373.53,1320.79,brazil
2857,4393,10.39,10.32,brazil
5087,5189,114.03,113.08,brazil
4171,4207,117.88,107.94,brazil
4263,4263,90.74,93.96,brazil
4115,4133,90.16,84.89,brazil
5075,5243,6.53,6.26,brazil
666,3174,143.97,130.91,brazil
2108,1606,100.23,98.47,brazil
3575,3572,92.62,87.42,brazil
5171,5066,9.11,9.64,brazil
4206,3923,6.05,5.65,brazil
5279,5141,88.38,96.15,brazil
4127,4195,8.66,8.75,brazil
5289,5291,108.64,105.4,brazil
3615,3571,93.64,93.78,brazil
5127,2898,8.17,8.98,brazil
1358,1511,10.84,10.59,brazil
2507,2511,7.29,7.3,brazil
3612,1963,7.63,7.15,brazil
3597,3619,11.25,10.81,brazil
3811,4877,52.57,53.38,brazil
5068,2857,9.86,9.63,brazil
1606,5036,10.55,9.99,brazil
2406,130,106.13,95.72,brazil
35,123,8.69,8.51,brazil
4822,4831,85.1,86.88,brazil
2146,1606,122.27,132.32,brazil
4289,4235,9.09,8.77,brazil
2814,3150,12.42,11.59,brazil
